size_bytes,memory_type,h2d_gbps,d2h_gbps
1,pageable,0.00,0.00
2,pageable,0.00,0.00
4,pageable,0.00,0.00
8,pageable,0.00,0.00
16,pageable,0.00,0.00
32,pageable,0.00,0.00
64,pageable,0.00,0.00
128,pageable,0.00,0.00
256,pageable,0.00,0.00
512,pageable,0.00,0.00
1024,pageable,0.00,0.00
2048,pageable,0.00,0.00
4096,pageable,0.00,0.00
8192,pageable,0.00,0.00
16384,pageable,0.00,0.00
32768,pageable,0.00,0.00
65536,pageable,0.00,0.00
131072,pageable,0.01,0.01
262144,pageable,0.01,0.01
524288,pageable,0.01,0.01
1048576,pageable,0.01,0.01
1,pinned,0.00,0.00
2,pinned,0.00,0.00
4,pinned,0.00,0.00
8,pinned,0.00,0.00
16,pinned,0.00,0.00
32,pinned,0.00,0.00
64,pinned,0.00,0.00
128,pinned,0.00,0.00
256,pinned,0.00,0.00
512,pinned,0.00,0.00
1024,pinned,0.00,0.00
2048,pinned,0.00,0.00
4096,pinned,0.00,0.00
8192,pinned,0.00,0.00
16384,pinned,0.00,0.00
32768,pinned,0.01,0.01
65536,pinned,0.01,0.01
131072,pinned,0.01,0.01
262144,pinned,0.02,0.02
524288,pinned,0.02,0.02
1048576,pinned,0.02,0.02
